,Unnamed: 0,edu,edu_level,elementary_edu,highschool_edu,postsec_edu,undergrad_edu,graduate_edu,grad_highschool_refyear,grad_college_refyear,grad_univ_refyear,student_status,public_sector,private_sector,lfs,occup,industry,self_emp,union,part_time,major_activity,major_source_inc,multiple_jobs,num_jobs,exp,reason_pt,hourly_wage,hours_paid,months_last_worked,tenure,sex,age,year,weight,salary,firm_size,loc_size
32228,89018,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,natural and applied sciences,"business, building and other support services",0,0,0,working,wages and salaries,0,1,16.0,,24.769810055865925,2346.0,,55.0,0,34.0,1997,81.1606,55740.78212290503,1.0,1.0
32229,89019,bachelor's degree,5,1,1,0,1,0,0,0,0,0,0,1,employed all year,clerical and supervisor occupations,"finance, insurance, real estate and leasing",0,0,0,working,wages and salaries,0,1,3.0,,21.5995530726257,2086.0,,27.0,0,28.0,1997,562.9127,45289.38547486033,1000.0,1.0
32230,89022,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,clerical and supervisor occupations,,0,0,0,working,wages and salaries,0,1,12.0,,21.860837988826816,2086.0,,40.0,1,34.0,1997,522.2087,55740.78212290503,1000.0,100.0
32231,89025,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,professional in business and finance,"finance, insurance, real estate and leasing",0,1,0,working,wages and salaries,0,1,22.0,,50.06218994413408,2086.0,,21.0,0,41.0,1997,96.531,87094.97206703911,1000.0,1.0
32232,89027,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,"employed part-year, unemployed part-year","wholesale, technical, insurance, real estate sales specialists",trade,0,0,0,working,wages and salaries,0,2,6.0,,22.57501675977654,903.0,,39.0,1,26.0,1997,67.1044,43547.48603351956,100.0,20.0
32233,89029,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,1,0,1,"employed part-year, unemployed part-year","chefs and cooks, food and beverage service",accommodation and food services,0,0,0,working,wages and salaries,0,1,6.0,,12.193296089385475,1472.0,5.0,34.0,1,43.0,1997,463.0971,15241.620111731843,1.0,1.0
32234,89032,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,middle management,accommodation and food services,0,0,0,working,wages and salaries,0,1,8.0,,33.53156424581006,2503.0,,132.0,0,26.0,1997,76.1298,48773.1843575419,500.0,500.0
32252,89087,some university (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,employed all year,middle management,trade,0,0,0,working,wages and salaries,0,1,33.0,,61.31486033519553,3129.0,,156.0,0,57.0,1997,987.1377,169835.19553072625,1.0,1.0
32253,89092,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,"employed part-year, unemployed part-year","chefs and cooks, food and beverage service",accommodation and food services,0,0,0,working,wages and salaries,0,1,9.0,,10.364301675977654,1881.0,1.0,15.0,0,28.0,1997,87.3922,19160.893854748603,1.0,1.0
32254,89093,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,middle management,trade,0,0,0,working,wages and salaries,0,1,12.0,,20.031843575419,3129.0,,72.0,0,29.0,1997,362.7392,43547.48603351956,1000.0,1.0
32255,89096,1-4 years of elementary school,1,0,0,0,0,0,0,0,0,0,1,0,"employed, unemployed and not in labour force during year",occupations unique to primary industry,utilities,0,1,0,working,wages and salaries,0,1,0.0,,14.631955307262572,432.0,4.0,2.0,0,37.0,1997,26.1983,20902.793296089385,1000.0,1.0
32256,89100,some university (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,employed all year,clerical and supervisor occupations,"professional, scientific and technical services",0,0,0,working,wages and salaries,0,1,20.0,,29.263910614525145,2086.0,,55.0,0,41.0,1997,876.0798,67934.07821229051,1.0,1.0
32257,89103,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,"employed part-year, unemployed part-year",clerical and supervisor occupations,transportation and warehousing,0,0,0,working,wages and salaries,0,2,31.0,,33.44446927374302,1918.0,,12.0,0,52.0,1997,1316.2082,73159.77653631284,100.0,100.0
32258,89106,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,professional in health,health care and social assistance,0,0,1,working,wages and salaries,1,3,9.0,caring for own child,43.547486033519554,243.0,,156.0,1,33.0,1997,209.6967,10886.871508379889,1.0,1.0
32259,89110,bachelor's degree,5,1,1,0,1,0,0,0,0,0,0,1,employed all year,natural and applied sciences,manufacturing,0,0,0,working,wages and salaries,0,1,22.0,,55.28788826815642,1955.0,,139.0,0,44.0,1997,802.0789,117578.2122905028,1000.0,100.0
32260,89111,9-10 years of elementary and secondary school,2,1,0,0,0,0,0,0,0,0,0,1,employed all year,transport and equipment operators,transportation and warehousing,0,0,1,working,wages and salaries,0,1,39.0,only find PT,25.08335195530726,1043.0,,16.0,0,57.0,1997,474.4324,20902.793296089385,1.0,1.0
32261,89112,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,"employed part-year, unemployed part-year","retail salespersons, sales clerks, cashiers",other services,0,0,1,working,wages and salaries,0,2,2.0,only find PT,11.932011173184357,942.0,,53.0,1,24.0,1997,104.0643,21773.743016759778,1.0,1.0
32262,89113,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,1,0,1,"employed part-year, unemployed part-year",machine operators and assemblers in manufacturing,manufacturing,0,0,0,working,wages and salaries,0,2,3.0,,16.61772067039106,489.0,5.0,3.0,1,25.0,1997,123.273,9580.446927374302,100.0,100.0
32263,89115,some university (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,employed all year,other trades,"information, culture and recreation",0,1,0,working,wages and salaries,0,1,20.0,,41.80558659217878,2086.0,,240.0,0,42.0,1997,492.1474,100159.21787709495,1000.0,1.0
32264,89118,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,other trades,manufacturing,0,0,0,working,wages and salaries,0,1,16.0,,38.0779217877095,2607.0,,132.0,0,35.0,1997,637.247,100159.21787709495,500.0,500.0
32800,90656,bachelor's degree,5,1,1,0,1,0,0,0,0,0,1,0,employed all year,clerical and supervisor occupations,educational services,0,1,0,working,wages and salaries,0,1,4.0,,30.570335195530728,1598.0,,47.0,1,27.0,1997,261.5662,59224.5810055866,1000.0,20.0
32801,90657,11-13 years of elementary and secondary school (not graduated),2,1,0,0,0,0,0,0,0,1,0,1,"employed part-year, not in labour force part-year","retail salespersons, sales clerks, cashiers",trade,0,0,0,working,wages and salaries,0,1,1.0,,11.148156424581009,985.0,,8.0,1,16.0,1997,231.3,11757.82122905028,1000.0,20.0
32802,90659,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,0,1,0,employed all year,natural and applied sciences,public administration,0,1,0,working,wages and salaries,0,1,15.0,,46.45645810055866,1955.0,,93.0,0,34.0,1997,172.014,73159.77653631284,1000.0,100.0
32803,90664,graduated high school,3,1,1,0,0,0,0,0,0,0,1,0,employed all year,"financial, secretarial and administrative",educational services,0,1,0,working,wages and salaries,0,1,46.0,,34.83798882681564,1825.0,,549.0,1,62.0,1997,249.8008,66192.17877094971,1000.0,20.0
32804,90665,some university (no certificate),3,1,1,0,0,0,0,0,0,1,0,1,"employed part-year, not in labour force part-year",occupations unique to primary industry,"forestry, fishing, mining, oil and gas",0,0,0,working,wages and salaries,0,2,5.0,,22.64469273743017,593.0,4.0,3.0,0,25.0,1997,156.6278,26128.49162011173,1000.0,100.0
32915,90958,bachelor's degree,5,1,1,0,1,0,0,0,0,0,1,0,employed all year,teachers and professors,educational services,0,1,0,working,wages and salaries,0,1,28.0,,48.25061452513967,2086.0,,352.0,1,48.0,1997,434.1412,95804.46927374302,1000.0,500.0
32916,90961,9-10 years of elementary and secondary school,2,1,0,0,0,0,0,0,0,0,0,1,"employed part-year, unemployed part-year","trades helpers, construction, and transportation labourers",construction,0,1,0,working,wages and salaries,0,1,25.0,,22.29631284916201,2346.0,,9.0,0,44.0,1997,195.7314,52256.98324022346,1000.0,100.0
32917,90966,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,1,0,employed all year,"occupations in social science, government service and religion",public administration,0,1,0,working,wages and salaries,0,1,19.0,,29.734223463687155,1877.0,,151.0,1,49.0,1997,345.8643,59224.5810055866,1.0,1.0
32918,90967,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"retail salespersons, sales clerks, cashiers",accommodation and food services,0,0,0,working,wages and salaries,1,3,3.0,,11.932011173184357,760.0,,5.0,1,23.0,1997,176.2167,18289.94413407821,1.0,1.0
32919,90970,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,middle management,"finance, insurance, real estate and leasing",0,0,0,working,wages and salaries,0,1,5.0,,22.29631284916201,1942.0,,391.0,1,50.0,1997,108.5211,48773.1843575419,1000.0,1.0
32920,90973,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"retail salespersons, sales clerks, cashiers",trade,0,0,1,working,wages and salaries,0,1,25.0,only find PT,13.76100558659218,1173.0,,43.0,1,42.0,1997,352.8121,36579.88826815642,1.0,1.0
32921,90979,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,1,0,1,employed all year,clerical and supervisor occupations,trade,0,1,1,working,wages and salaries,0,1,1.0,personal preference,16.56546368715084,1734.0,,53.0,0,20.0,1997,213.4394,28741.340782122905,1000.0,20.0
32922,90980,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"financial, secretarial and administrative",trade,0,0,0,working,wages and salaries,0,1,15.0,,6.532122905027933,2086.0,,60.0,1,44.0,1997,36.7837,41805.58659217877,1.0,1.0
32923,90982,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,1,0,1,employed all year,clerical and supervisor occupations,accommodation and food services,0,0,0,working,wages and salaries,0,1,16.0,,17.157709497206703,1564.0,,187.0,1,35.0,1997,729.3606,31354.18994413408,20.0,1.0
32924,90983,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,"chefs and cooks, food and beverage service",accommodation and food services,0,0,0,working,wages and salaries,0,1,17.0,,15.67709497206704,2086.0,,156.0,0,47.0,1997,95.7929,9144.972067039103,1.0,1.0
32925,90987,5-8 years of elementary school,2,1,0,0,0,0,0,0,0,0,0,1,employed all year,clerical and supervisor occupations,manufacturing,0,1,0,working,wages and salaries,0,1,31.0,,21.860837988826816,2086.0,,213.0,1,58.0,1997,1276.4249,47031.28491620112,1000.0,500.0
32926,90988,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"financial, secretarial and administrative","professional, scientific and technical services",0,0,0,working,wages and salaries,0,1,14.0,,24.839486033519552,1825.0,,91.0,1,32.0,1997,204.6073,50515.08379888268,1000.0,1.0
32927,90989,some university (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,employed all year,senior management,transportation and warehousing,0,0,0,working,wages and salaries,0,1,17.0,,41.80558659217878,2086.0,,12.0,0,35.0,1997,2430.9563,91449.72067039106,20.0,20.0
33100,91515,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,"technical, assisting and related in health",health care and social assistance,0,1,0,working,wages and salaries,0,1,19.0,,18.65574301675978,2086.0,,89.0,1,37.0,1997,405.6926,38321.78770949721,1.0,1.0
33101,91521,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,"financial, secretarial and administrative",health care and social assistance,0,1,1,working,wages and salaries,0,1,8.0,personal preference,26.12849162011173,1147.0,,41.0,1,38.0,1997,733.2802,34837.98882681564,500.0,100.0
33102,91522,graduated high school,3,1,1,0,0,0,0,0,0,0,1,0,employed all year,"trades helpers, construction, and transportation labourers",utilities,0,1,0,working,wages and salaries,0,1,21.0,,38.58307262569832,2086.0,,129.0,0,38.0,1997,206.1681,91449.72067039106,1000.0,20.0
33103,91527,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,teachers and professors,educational services,0,0,0,working,wages and salaries,0,1,36.0,,60.548424581005584,1929.0,,328.0,0,61.0,1997,159.3822,91449.72067039106,500.0,500.0
33104,91529,graduated high school,3,1,1,0,0,0,0,0,0,0,1,0,employed all year,clerical and supervisor occupations,transportation and warehousing,0,1,0,working,wages and salaries,0,1,8.0,,29.351005586592184,2086.0,,48.0,0,26.0,1997,96.8063,59224.5810055866,1000.0,500.0
33105,91535,5-8 years of elementary school,2,1,0,0,0,0,0,0,0,0,0,1,employed all year,"financial, secretarial and administrative",health care and social assistance,0,0,0,working,wages and salaries,0,1,43.0,,20.51957541899441,1955.0,,53.0,1,69.0,1997,169.4873,43547.48603351956,1.0,1.0
33106,91536,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,sales and service,"information, culture and recreation",0,0,0,working,wages and salaries,0,1,3.0,,19.160893854748604,2086.0,,32.0,1,32.0,1997,848.8321,41805.58659217877,100.0,100.0
33107,91537,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,professional in health,health care and social assistance,0,1,1,working,wages and salaries,0,1,10.0,personal preference,50.06218994413408,2016.0,,95.0,1,33.0,1997,224.675,45289.38547486033,500.0,500.0
33108,91540,graduated high school,3,1,1,0,0,0,0,0,0,0,1,0,employed all year,other trades,,0,0,0,working,wages and salaries,0,1,18.0,,71.0694972067039,2086.0,,211.0,0,35.0,1997,696.497,161125.69832402235,1000.0,500.0
33109,91541,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"retail salespersons, sales clerks, cashiers",trade,0,0,0,working,wages and salaries,0,2,5.0,,17.41899441340782,1222.0,,7.0,0,37.0,1997,408.9019,26128.49162011173,500.0,1.0
33110,91543,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,employed all year,"retail salespersons, sales clerks, cashiers",trade,0,0,0,working,wages and salaries,0,1,12.0,,13.67391061452514,1564.0,,87.0,1,53.0,1997,548.5964,23515.64245810056,1000.0,1.0
33111,91545,5-8 years of elementary school,2,1,0,0,0,0,0,0,0,0,0,1,"employed part-year, unemployed part-year",occupations unique to primary industry,agriculture,0,0,0,working,wages and salaries,0,1,3.0,,15.015173184357542,1703.0,,8.0,0,41.0,1997,639.386,25257.54189944134,1.0,1.0
33112,91546,,0,0,0,0,0,0,0,0,0,0,0,1,employed all year,professional in business and finance,"professional, scientific and technical services",0,0,0,working,wages and salaries,0,1,5.0,,33.44446927374302,2086.0,,68.0,0,31.0,1997,139.3788,85353.07262569832,100.0,20.0
33113,91547,never attended school,1,0,0,0,0,0,0,0,0,0,0,1,employed all year,childcare and home support workers,health care and social assistance,0,0,0,working,wages and salaries,0,1,2.0,,20.90279329608939,2086.0,,47.0,1,63.0,1997,640.9737,41805.58659217877,1.0,1.0
33117,91563,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,middle management,manufacturing,0,0,0,working,wages and salaries,0,1,35.0,,45.48099441340782,1955.0,,312.0,0,59.0,1997,51.6015,100159.21787709495,20.0,20.0
33118,91566,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,"employed part-year, unemployed part-year",clerical and supervisor occupations,trade,0,0,0,working,wages and salaries,0,2,6.0,,16.7048156424581,869.0,,5.0,0,24.0,1997,1797.4745,19160.893854748603,20.0,20.0
33119,91569,graduated high school,3,1,1,0,0,0,0,0,0,0,1,0,employed all year,senior management,public administration,0,0,0,working,wages and salaries,0,1,25.0,,47.03128491620112,2607.0,,144.0,0,45.0,1997,484.4985,126287.7094972067,20.0,20.0
33120,91570,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,"wholesale, technical, insurance, real estate sales specialists",manufacturing,0,0,0,working,wages and salaries,0,1,19.0,,28.880692737430163,2294.0,,172.0,0,39.0,1997,248.0007,71417.87709497206,100.0,20.0
33121,91576,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"occupations in social science, government service and religion",health care and social assistance,0,0,0,working,wages and salaries,1,2,5.0,,23.91627932960894,2086.0,,37.0,1,27.0,1997,564.9525,66192.17877094971,1.0,1.0
33122,91577,,0,0,0,0,0,0,0,0,0,0,0,1,employed all year,"wholesale, technical, insurance, real estate sales specialists",trade,0,0,0,working,wages and salaries,0,1,10.0,,50.16670391061452,2086.0,,24.0,1,35.0,1997,29.5869,126287.7094972067,100.0,100.0
33123,91578,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,"chefs and cooks, food and beverage service",accommodation and food services,0,0,0,working,wages and salaries,0,1,11.0,,15.67709497206704,2607.0,,23.0,1,30.0,1997,1788.2123,32225.13966480447,20.0,20.0
33124,91579,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,middle management,"information, culture and recreation",0,1,0,working,wages and salaries,0,1,31.0,,43.47781005586592,2086.0,,288.0,0,51.0,1997,219.6354,104513.96648044692,100.0,100.0
33125,91580,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,manufacturing,0,0,0,working,wages and salaries,0,3,13.0,,30.430983240223465,1360.0,,8.0,0,29.0,1997,267.8572,71417.87709497206,1.0,1.0
33126,91583,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,middle management,accommodation and food services,0,0,0,working,wages and salaries,1,2,34.0,,13.935195530726258,1825.0,,132.0,1,50.0,1997,987.1929,19160.893854748603,100.0,1.0
33127,91585,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,sales and service,health care and social assistance,0,1,0,working,wages and salaries,1,2,20.0,,24.38659217877095,1564.0,,213.0,1,40.0,1997,123.7947,67934.07821229051,1000.0,20.0
33128,91589,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,"labourer in processing, manufacturing and utilities",manufacturing,0,1,0,working,wages and salaries,0,1,11.0,,23.44596648044693,2086.0,,46.0,0,28.0,1997,383.6461,50515.08379888268,1000.0,500.0
33181,91728,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,other trades,trade,0,0,0,working,wages and salaries,0,1,15.0,,38.32178770949721,1905.0,,173.0,0,34.0,1997,117.9166,53998.882681564246,20.0,20.0
33182,91729,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,1,0,employed all year,clerical and supervisor occupations,public administration,0,0,1,working,wages and salaries,0,1,6.0,FT under 30hrs/wk,26.75557541899441,1304.0,,16.0,1,49.0,1997,382.5004,34837.98882681564,1.0,1.0
33183,91731,bachelor's degree,5,1,1,0,1,0,0,0,0,0,0,1,employed all year,sales and service,transportation and warehousing,0,1,1,working,wages and salaries,0,1,4.0,FT under 30hrs/wk,75.9293966480447,965.0,,164.0,0,40.0,1997,1964.057,28741.340782122905,1000.0,1000.0
33184,91732,,0,0,0,0,0,0,0,0,0,0,1,0,employed all year,"occupations in social science, government service and religion",public administration,0,1,0,working,wages and salaries,0,1,12.0,,40.13336312849162,1955.0,,112.0,0,42.0,1997,466.7037,74901.67597765363,1000.0,100.0
33185,91734,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,childcare and home support workers,health care and social assistance,0,0,0,working,wages and salaries,0,1,6.0,,24.247240223463688,2086.0,,26.0,1,25.0,1997,1452.9862,50515.08379888268,1.0,1.0
33186,91737,9-10 years of elementary and secondary school,2,1,0,0,0,0,0,0,0,0,0,1,employed all year,"labourer in processing, manufacturing and utilities",manufacturing,0,1,0,working,wages and salaries,0,1,23.0,,20.90279329608939,2086.0,,342.0,1,53.0,1997,695.1463,60966.48044692737,1000.0,500.0
33187,91738,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,clerical and supervisor occupations,utilities,0,1,0,working,wages and salaries,0,1,33.0,,28.671664804469277,1825.0,,256.0,1,52.0,1997,237.1527,50515.08379888268,1000.0,100.0
33188,91741,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,"forestry, fishing, mining, oil and gas",0,1,0,working,wages and salaries,0,1,21.0,,38.32178770949721,1877.0,,14.0,0,43.0,1997,111.4845,91449.72067039106,100.0,100.0
33189,91743,11-13 years of elementary and secondary school (not graduated),2,1,0,0,0,0,0,0,0,0,0,1,"employed part-year, unemployed part-year",clerical and supervisor occupations,trade,0,0,0,working,wages and salaries,0,2,1.0,,17.41899441340782,1043.0,,6.0,1,19.0,1997,12.755,25257.54189944134,1000.0,100.0
33190,91746,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,"employed part-year, unemployed part-year",transport and equipment operators,transportation and warehousing,0,0,0,working,wages and salaries,0,1,10.0,,17.41899441340782,1186.0,,7.0,0,33.0,1997,281.0626,26128.49162011173,1000.0,20.0
33191,91747,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"wholesale, technical, insurance, real estate sales specialists",manufacturing,0,0,0,working,wages and salaries,0,1,6.0,,43.47781005586592,2086.0,,38.0,0,26.0,1997,868.9657,87094.97206703911,20.0,20.0
33192,91749,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,manufacturing,0,0,0,working,wages and salaries,0,1,11.0,,24.17756424581006,2086.0,,60.0,1,41.0,1997,75.1799,57482.68156424581,1000.0,500.0
33193,91751,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,"technical, assisting and related in health",health care and social assistance,0,1,0,working,wages and salaries,0,1,28.0,,28.91553072625699,1877.0,,199.0,1,49.0,1997,70.6717,59224.5810055866,20.0,20.0
33253,91905,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,clerical and supervisor occupations,"professional, scientific and technical services",0,0,0,working,wages and salaries,0,1,11.0,,21.878256983240224,2086.0,,14.0,1,39.0,1997,451.3835,47031.28491620112,1000.0,1.0
33254,91907,bachelor's degree,5,1,1,0,1,0,0,0,1,1,0,1,employed all year,"financial, secretarial and administrative",trade,1,0,0,working,wages and salaries,1,3,2.0,,18.02865921787709,1417.0,,8.0,1,27.0,1997,1053.5929,34837.98882681564,1.0,1.0
33255,91911,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,"employed part-year, not in labour force part-year","labourer in processing, manufacturing and utilities",manufacturing,0,0,0,working,wages and salaries,0,1,0.0,,19.160893854748604,695.0,,4.0,0,19.0,1997,121.8188,2177.3743016759777,1.0,1.0
33256,91914,9-10 years of elementary and secondary school,2,1,0,0,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,manufacturing,0,0,0,working,wages and salaries,0,1,16.0,,29.176815642458106,2086.0,,28.0,0,35.0,1997,37.3968,76643.57541899441,20.0,20.0
33257,91916,9-10 years of elementary and secondary school,2,1,0,0,0,0,0,0,0,0,1,0,employed all year,clerical and supervisor occupations,transportation and warehousing,0,1,0,working,wages and salaries,0,1,34.0,,31.772245810055864,2086.0,,363.0,0,52.0,1997,317.5444,60966.48044692737,1000.0,20.0
33258,91917,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,manufacturing,0,0,0,working,wages and salaries,0,1,28.0,,18.96928491620112,2346.0,,149.0,1,49.0,1997,93.2238,47031.28491620112,20.0,20.0
33259,91918,bachelor's degree,5,1,1,0,1,0,0,0,0,0,0,1,employed all year,"financial, secretarial and administrative",health care and social assistance,0,0,0,working,wages and salaries,0,2,3.0,,19.213150837988827,1969.0,,11.0,1,26.0,1997,664.2344,40063.68715083799,1.0,1.0
33260,91920,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,other trades,manufacturing,0,1,0,working,wages and salaries,0,1,10.0,,29.69938547486034,2320.0,,65.0,0,27.0,1997,571.4678,69675.97765363129,100.0,100.0
33261,91921,11-13 years of elementary and secondary school (not graduated),2,1,0,0,0,0,0,0,0,0,0,1,employed all year,"labourer in processing, manufacturing and utilities",manufacturing,0,0,0,working,wages and salaries,0,1,7.0,,10.033340782122906,2086.0,,84.0,0,27.0,1997,105.4779,25257.54189944134,20.0,20.0
33280,91968,,0,0,0,0,0,0,0,0,0,0,1,0,"employed part-year, not in labour force part-year","occupations in social science, government service and religion",health care and social assistance,0,1,0,working,wages and salaries,0,1,1.0,,36.56246927374301,1304.0,4.0,15.0,1,29.0,1997,494.0204,71417.87709497206,1000.0,1.0
33281,91969,graduated high school,3,1,1,0,0,0,1,0,0,1,0,1,employed all year,"retail salespersons, sales clerks, cashiers",trade,0,0,1,working,wages and salaries,0,1,1.0,only find PT,11.932011173184357,1043.0,,16.0,1,20.0,1997,213.0282,14370.670391061452,1.0,1.0
33282,91970,11-13 years of elementary and secondary school (not graduated),2,1,0,0,0,0,0,0,0,0,0,1,"employed, unemployed and not in labour force during year","trades helpers, construction, and transportation labourers",accommodation and food services,0,0,0,working,wages and salaries,1,2,1.0,,12.193296089385475,623.0,,25.0,0,23.0,1997,202.7944,3048.324022346369,20.0,20.0
33283,91972,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,1,0,employed all year,natural and applied sciences,public administration,0,1,0,working,wages and salaries,0,1,30.0,,36.56246927374301,1955.0,,357.0,0,51.0,1997,161.1969,73159.77653631284,1000.0,500.0
33284,91974,,0,0,0,0,0,0,0,0,0,0,1,0,employed all year,"occupations in social science, government service and religion",public administration,0,1,0,working,wages and salaries,0,1,14.0,,81.55573184357542,1903.0,,106.0,0,41.0,1997,145.2522,156770.94972067038,1000.0,100.0
33285,91977,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,1,0,employed all year,childcare and home support workers,health care and social assistance,0,1,0,working,wages and salaries,0,1,5.0,,26.12849162011173,1104.0,,74.0,1,27.0,1997,736.5379,40063.68715083799,500.0,1.0
33286,91978,,0,0,0,0,0,0,0,0,0,0,0,1,employed all year,"occupations in social science, government service and religion",health care and social assistance,0,0,1,working,wages and salaries,0,1,11.0,personal or family responsabilities,27.57426815642458,1251.0,,76.0,1,39.0,1997,252.356,34837.98882681564,100.0,20.0
33287,91983,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,employed all year,occupations unique to primary industry,,0,1,0,working,wages and salaries,0,1,25.0,,33.09608938547486,2086.0,,107.0,0,46.0,1997,1450.4202,76643.57541899441,100.0,20.0
33288,91984,some university (no certificate),3,1,1,0,0,0,0,0,0,1,0,1,employed all year,clerical and supervisor occupations,trade,0,0,1,working,wages and salaries,1,2,2.0,school,13.064245810055866,1291.0,,38.0,0,20.0,1997,376.4936,10451.396648044692,1000.0,20.0
33289,91985,some university (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,employed all year,middle management,"business, building and other support services",1,0,0,working,wages and salaries,1,2,32.0,,16.72223463687151,2086.0,,312.0,1,59.0,1997,647.7989,20902.793296089385,1.0,1.0
33290,91986,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,0,1,0,employed all year,occupation in protective services,public administration,0,1,0,working,wages and salaries,0,1,19.0,,36.57988826815642,2086.0,,151.0,0,35.0,1997,172.9265,83611.17318435754,1000.0,20.0
33291,91988,,0,0,0,0,0,0,0,0,0,0,0,1,employed all year,"wholesale, technical, insurance, real estate sales specialists",trade,0,0,0,working,wages and salaries,0,1,32.0,,51.83892737430168,2086.0,,12.0,0,53.0,1997,1641.7206,121932.96089385476,1.0,1.0
33849,93505,bachelor's degree,5,1,1,0,1,0,0,0,0,0,1,0,employed all year,teachers and professors,educational services,0,1,0,working,wages and salaries,0,1,24.0,,54.3472625698324,2086.0,,185.0,1,52.0,1997,469.0108,108868.71508379887,1000.0,1.0
33850,93506,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,"retail salespersons, sales clerks, cashiers",trade,0,0,0,working,wages and salaries,0,1,2.0,,12.193296089385475,1564.0,,32.0,0,20.0,1997,141.8207,20031.843575419,1.0,1.0
