,Unnamed: 0,edu,edu_level,elementary_edu,highschool_edu,postsec_edu,undergrad_edu,graduate_edu,grad_highschool_refyear,grad_college_refyear,grad_univ_refyear,student_status,public_sector,private_sector,lfs,occup,industry,self_emp,union,part_time,major_activity,major_source_inc,multiple_jobs,num_jobs,exp,reason_pt,hourly_wage,hours_paid,months_last_worked,tenure,sex,age,year,weight,salary,firm_size,loc_size
23066,63840,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,1,0,employed all year,occupation in protective services,public administration,0,1,0,working,wages and salaries,0,1,10.0,,51.83892737430168,2086.0,,108.0,0,30.0,1997,105.6377,104513.96648044692,500.0,100.0
23067,63841,graduated high school,3,1,1,0,0,0,1,0,0,1,0,1,"employed part-year, not in labour force part-year",other trades,construction,0,0,0,working,wages and salaries,0,1,1.0,,15.67709497206704,875.0,1.0,5.0,0,22.0,1997,823.984,18289.94413407821,100.0,100.0
23068,63846,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,natural and applied sciences,manufacturing,0,0,0,working,wages and salaries,0,1,9.0,,32.991575418994415,1955.0,,67.0,1,33.0,1997,173.7327,73159.77653631284,500.0,20.0
23069,63847,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,1,0,1,employed all year,"retail salespersons, sales clerks, cashiers",trade,0,0,1,working,wages and salaries,0,1,0.0,school,12.454581005586594,1043.0,,28.0,1,19.0,1997,167.0645,13064.245810055863,1000.0,20.0
23090,63900,11-13 years of elementary and secondary school (not graduated),2,1,0,0,0,0,0,0,0,0,0,1,employed all year,"chefs and cooks, food and beverage service",accommodation and food services,0,0,0,working,wages and salaries,0,1,4.0,,15.67709497206704,1564.0,,119.0,1,28.0,1997,45.2095,16548.04469273743,1.0,1.0
23091,63902,graduated high school,3,1,1,0,0,0,0,0,0,1,0,1,"employed, unemployed and not in labour force during year",machine operators and assemblers in manufacturing,manufacturing,0,0,0,working,wages and salaries,0,1,1.0,,13.935195530726258,960.0,7.0,5.0,0,20.0,1997,102.4254,12628.77094972067,500.0,100.0
23092,63908,bachelor's degree,5,1,1,0,1,0,0,0,0,1,0,1,employed all year,natural and applied sciences,"information, culture and recreation",0,0,0,working,wages and salaries,0,1,3.0,,50.65443575418995,1955.0,,31.0,0,24.0,1997,36.6061,95804.46927374302,1000.0,1000.0
23093,63909,,0,0,0,0,0,0,0,0,0,0,0,1,employed all year,professional in health,health care and social assistance,0,1,0,working,wages and salaries,0,1,6.0,,30.796782122905025,1981.0,,27.0,1,28.0,1997,57.5956,59224.5810055866,100.0,100.0
23094,63910,,0,0,0,0,0,0,0,0,0,0,0,1,employed all year,"financial, secretarial and administrative","finance, insurance, real estate and leasing",0,0,0,working,wages and salaries,0,1,18.0,,56.85559776536313,2607.0,,166.0,0,41.0,1997,649.2241,117578.2122905028,1000.0,1.0
23095,63911,9-10 years of elementary and secondary school,2,1,0,0,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,manufacturing,0,1,0,working,wages and salaries,0,1,29.0,,32.660614525139664,2086.0,,256.0,0,47.0,1997,841.2531,156770.94972067038,1000.0,1000.0
23096,63914,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,employed all year,clerical and supervisor occupations,trade,0,0,0,working,wages and salaries,0,1,16.0,,12.193296089385475,1721.0,,16.0,1,35.0,1997,432.0357,22644.692737430167,1.0,1.0
23097,63920,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,"retail salespersons, sales clerks, cashiers",trade,0,1,0,working,wages and salaries,0,1,33.0,,31.719988826815644,1929.0,,300.0,0,51.0,1997,915.4206,57482.68156424581,1000.0,100.0
23098,63922,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,machine operators and assemblers in manufacturing,manufacturing,0,0,0,working,wages and salaries,0,1,4.0,,52.62278212290504,2086.0,,44.0,0,27.0,1997,145.5494,104513.96648044692,500.0,100.0
