id_run,model_name,model_def,variable,type,element,dims,level
3,1997_onelvl_ind_no_loc_size,"Uni-level, varying intercepts and slopes - no loc_size. Dimensions: Industry",firm_size,parameter,slope,industry,1
3,1997_onelvl_ind_no_loc_size,"Uni-level, varying intercepts and slopes - no loc_size. Dimensions: Industry",salary,target,target,obs,
3,1997_onelvl_ind_no_loc_size,"Uni-level, varying intercepts and slopes - no loc_size. Dimensions: Industry",industry,dimension,dimension,industry,
4,1997_onelvl_ind_run_3_no_firm_size,"Uni-level, varying intercepts and slopes - run 3 with no firm_size. Dimensions: Industry",avg_salary,parameter,intercept,industry,1
4,1997_onelvl_ind_run_3_no_firm_size,"Uni-level, varying intercepts and slopes - run 3 with no firm_size. Dimensions: Industry",elementary_edu,parameter,slope,industry,1
4,1997_onelvl_ind_run_3_no_firm_size,"Uni-level, varying intercepts and slopes - run 3 with no firm_size. Dimensions: Industry",highschool_edu,parameter,slope,industry,1
4,1997_onelvl_ind_run_3_no_firm_size,"Uni-level, varying intercepts and slopes - run 3 with no firm_size. Dimensions: Industry",postsec_edu,parameter,slope,industry,1
4,1997_onelvl_ind_run_3_no_firm_size,"Uni-level, varying intercepts and slopes - run 3 with no firm_size. Dimensions: Industry",undergrad_edu,parameter,slope,industry,1
4,1997_onelvl_ind_run_3_no_firm_size,"Uni-level, varying intercepts and slopes - run 3 with no firm_size. Dimensions: Industry",graduate_edu,parameter,slope,industry,1
4,1997_onelvl_ind_run_3_no_firm_size,"Uni-level, varying intercepts and slopes - run 3 with no firm_size. Dimensions: Industry",grad_highschool_refyear,parameter,slope,industry,1
4,1997_onelvl_ind_run_3_no_firm_size,"Uni-level, varying intercepts and slopes - run 3 with no firm_size. Dimensions: Industry",grad_college_refyear,parameter,slope,industry,1
4,1997_onelvl_ind_run_3_no_firm_size,"Uni-level, varying intercepts and slopes - run 3 with no firm_size. Dimensions: Industry",grad_univ_refyear,parameter,slope,industry,1
4,1997_onelvl_ind_run_3_no_firm_size,"Uni-level, varying intercepts and slopes - run 3 with no firm_size. Dimensions: Industry",student_status,parameter,slope,industry,1
4,1997_onelvl_ind_run_3_no_firm_size,"Uni-level, varying intercepts and slopes - run 3 with no firm_size. Dimensions: Industry",public_sector,parameter,slope,industry,1
4,1997_onelvl_ind_run_3_no_firm_size,"Uni-level, varying intercepts and slopes - run 3 with no firm_size. Dimensions: Industry",private_sector,parameter,slope,industry,1
4,1997_onelvl_ind_run_3_no_firm_size,"Uni-level, varying intercepts and slopes - run 3 with no firm_size. Dimensions: Industry",self_emp,parameter,slope,industry,1
4,1997_onelvl_ind_run_3_no_firm_size,"Uni-level, varying intercepts and slopes - run 3 with no firm_size. Dimensions: Industry",union,parameter,slope,industry,1
4,1997_onelvl_ind_run_3_no_firm_size,"Uni-level, varying intercepts and slopes - run 3 with no firm_size. Dimensions: Industry",part_time,parameter,slope,industry,1
4,1997_onelvl_ind_run_3_no_firm_size,"Uni-level, varying intercepts and slopes - run 3 with no firm_size. Dimensions: Industry",multiple_jobs,parameter,slope,industry,1
4,1997_onelvl_ind_run_3_no_firm_size,"Uni-level, varying intercepts and slopes - run 3 with no firm_size. Dimensions: Industry",exp,parameter,slope,industry,1
4,1997_onelvl_ind_run_3_no_firm_size,"Uni-level, varying intercepts and slopes - run 3 with no firm_size. Dimensions: Industry",months_last_worked,parameter,slope,industry,1
